Word Spacing,Pen Pressure_LOW,Baseline_DESCENDING,Baseline_STRAIGHT,Word Size_NORMAL,Word Size_SMALL,Emotion,Attention,Optimism,Size,Pen Pressure
438,1,1,0,0,1,1,0,0,0.6630674999,129
429,0,0,1,0,0,0,2,1,2.375443341,102
200,1,0,1,0,1,1,0,1,0.4633934332,101
164,0,0,1,0,1,0,0,1,0.5524076465,113
250,1,0,1,0,1,1,0,1,0.4221201728,118
400,0,0,1,0,1,0,0,1,0.9233176652,158
348,1,0,1,0,1,1,0,1,0.6688482726,159
369,1,0,1,0,1,1,0,1,0.580913518,189
195,1,0,1,0,0,1,2,1,6.636254648,199
466,0,0,1,0,1,0,0,1,0.8657312938,181
167,1,0,1,0,0,1,2,1,1.490616315,161
264,1,0,1,0,1,1,0,1,0.4552066675,140
329,1,0,1,0,1,1,0,1,0.8868126048,152
382,0,0,1,1,0,0,1,1,1.223841356,106
404,1,1,0,0,1,1,0,0,0.7653953469,93
370,1,0,1,0,1,1,0,1,0.7087197412,33
367,0,0,1,0,1,0,0,1,0.9213232142,51
462,0,0,1,0,1,0,0,1,0.5403939092,178
228,1,0,1,0,0,1,2,1,1.555899364,169
153,0,0,1,0,1,0,0,1,0.8040917423,140
415,1,0,1,1,0,1,1,1,1.019811511,87
758,0,0,1,0,1,0,0,1,0.3922840363,62
371,1,0,1,1,0,1,1,1,1.33424947,74
323,0,1,0,1,0,0,1,0,1.040670554,69
364,1,0,1,0,1,1,0,1,0.4322103902,78
229,1,0,1,0,1,1,0,1,0.9100965459,121
296,1,0,1,0,0,1,2,1,4.835526821,174
558,1,0,1,0,1,1,0,1,0.8489863532,182
252,1,0,1,0,1,1,0,1,0.6504479621,160
27,1,0,1,0,0,1,2,1,2.682827748,159
386,1,1,0,0,1,1,0,0,0.7686371791,162
530,0,1,0,0,1,0,0,0,0.5325947557,148
404,0,0,1,0,1,0,0,1,0.2731909069,135
214,1,0,1,0,1,1,0,1,0.6415165393,153
391,0,1,0,0,1,0,0,0,0.955,151
436,1,0,1,0,1,1,0,1,0.5774772293,131
349,1,0,1,0,0,1,2,1,2.631706931,107
391,0,0,1,1,0,0,1,1,1.096735626,140
358,0,1,0,0,1,0,0,0,0.686877399,159
541,1,0,1,0,0,1,2,1,4.910607019,194
450,0,0,1,0,1,0,0,1,0.4807805081,186
190,0,0,1,0,1,0,0,1,0.8892053681,173
356,1,0,1,1,0,1,1,1,1.02171145,144
259,1,0,1,0,1,1,0,1,0.6213311078,106
192,1,0,1,0,1,1,0,1,0.7630782265,50
87,1,0,1,0,1,1,0,1,0.730591976,38
498,1,0,1,0,1,1,0,1,0.7096403667,135
471,1,0,1,1,0,1,1,1,1.306252798,139
279,0,0,1,1,0,0,1,1,1.072827235,120
288,1,0,1,1,0,1,1,1,1.326997617,97
448,1,0,1,0,1,1,0,1,0.7813506867,86
356,0,0,1,0,1,0,0,1,0.7281043827,83
477,1,0,1,0,1,1,0,1,0.6604301371,60
250,1,0,1,0,1,1,0,1,0.6557979555,62
422,1,0,1,1,0,1,1,1,1.004115165,144
418,0,0,1,0,1,0,0,1,0.261115293,189
487,1,0,1,0,0,1,2,1,2.259777361,189
252,0,0,1,0,1,0,0,1,0.6257768409,163
260,0,0,1,0,1,0,0,1,0.6710658865,171
233,1,0,1,0,1,1,0,1,0.8603314711,156
76,1,1,0,0,1,1,0,0,0.5820245508,145
480,1,0,1,0,0,1,2,1,2.421661217,145
396,0,0,0,0,1,0,0,2,0.5745629076,164
288,1,0,1,1,0,1,1,1,1.025535576,154
301,1,0,1,0,1,1,0,1,0.3232008575,136
396,0,1,0,0,0,0,2,0,4.33432157,167
361,0,1,0,0,1,0,0,0,0.8549567138,186
382,1,0,1,0,1,1,0,1,0.6767389757,168
389,1,0,1,0,0,1,2,1,1.547118984,166
364,0,0,1,0,1,0,0,1,0.3845059051,193
633,1,1,0,0,1,1,0,0,0.6872434638,173
86,0,0,1,0,1,0,0,1,0.6997558152,116
221,0,0,1,1,0,0,1,1,1.435187392,117
319,1,0,1,0,1,1,0,1,0.8784478614,94
478,1,0,1,0,1,1,0,1,0.7335838235,37
525,1,0,1,0,1,1,0,1,0.5387648551,111
270,1,0,1,0,1,1,0,1,0.7420035659,165
318,0,0,1,0,1,0,0,1,0.891895585,121
288,1,0,1,0,1,1,0,1,0.4272554292,99
492,1,0,1,0,1,1,0,1,0.5831959686,112
91,1,0,1,1,0,1,1,1,1.445602567,112
386,1,0,1,1,0,1,1,1,1.321546534,91
369,1,1,0,0,1,1,0,0,0.4066760804,48
339,1,0,1,0,1,1,0,1,0.7915886534,63
324,1,1,0,1,0,1,1,0,1.084330364,82
399,1,0,1,0,1,1,0,1,0.4384546818,183
398,1,0,1,0,0,1,2,1,1.833617137,167
353,1,0,1,0,0,1,2,1,5.603531874,179
180,1,0,1,1,0,1,1,1,1.054292017,179
862,1,0,1,0,1,1,0,1,0.955,161
564,0,0,1,0,1,0,0,1,0.4638125195,162
332,1,0,1,1,0,1,1,1,1.317099716,165
332,1,0,1,0,1,1,0,1,0.9601174247,150
219,1,0,1,0,1,1,0,1,0.733068201,159
538,1,0,1,0,1,1,0,1,0.6552632055,178
231,1,1,0,0,1,1,0,0,0.7115814127,171
382,0,0,1,1,0,0,1,1,1.260693082,163
381,1,0,1,0,1,1,0,1,0.9313337643,154
266,1,0,1,0,1,1,0,1,0.9813184585,144
126,1,0,1,0,0,1,2,1,4.044669152,155
471,1,0,1,0,1,1,0,1,0.379014561,97
241,1,0,1,0,1,1,0,1,0.7428114089,34
464,1,1,0,0,1,1,0,0,0.6475690218,106
416,0,0,1,0,1,0,0,1,0.6442673898,192
464,1,0,1,0,1,1,0,1,0.5277229464,149
408,0,0,1,1,0,0,1,1,1.303209815,127
179,0,0,1,0,1,0,0,1,0.4945020631,119
251,0,0,1,1,0,0,1,1,1.154224541,122
383,1,0,1,1,0,1,1,1,1.154468953,160
307,0,0,1,0,1,0,0,1,0.955,135
294,0,0,1,0,1,0,0,1,0.8220306388,74
350,0,0,1,0,1,0,0,1,0.387016908,65
382,1,0,1,1,0,1,1,1,1.082242359,69
296,0,0,0,0,0,0,2,2,1.569172009,96
38,1,0,1,0,0,1,2,1,3.513185552,165
67,0,0,1,0,1,0,0,1,0.8510889211,154
324,1,0,1,1,0,1,1,1,1.303342344,168
412,1,0,1,1,0,1,1,1,1.163622524,182
148,1,0,1,1,0,1,1,1,1.043714024,182
466,0,0,1,0,1,0,0,1,0.7529422522,161
342,0,0,0,1,0,0,1,2,1.209300877,161
510,1,0,1,0,0,1,2,1,2.557077579,156
529,0,0,1,0,1,0,0,1,0.9708082428,164
121,0,0,1,0,0,0,2,1,1.894480653,178
242,1,0,1,0,1,1,0,1,0.7344267329,173
90,0,0,1,0,0,0,2,1,3.615869456,178
347,1,0,1,0,0,1,2,1,1.686208637,193
531,0,1,0,0,0,0,2,0,1.947184606,196
371,0,0,1,0,1,0,0,1,0.5348867104,199
139,0,0,1,0,1,0,0,1,0.9241905724,173
170,1,0,0,0,0,1,2,2,2.045015485,156
344,1,0,1,0,0,1,2,1,2.101,153
494,0,0,1,0,1,0,0,1,0.6694302618,87
217,1,0,1,0,1,1,0,1,0.6567137774,31
438,0,0,1,0,1,0,0,1,0.6423504729,68
416,1,0,1,0,0,1,2,1,1.508252799,139
457,1,0,1,0,1,1,0,1,0.365860572,109
227,1,0,1,0,1,1,0,1,0.5772621805,132
34,0,0,1,0,1,0,0,1,0.8221429564,181
445,1,0,1,0,1,1,0,1,0.95214358,196
304,1,0,1,0,1,1,0,1,0.574542496,132
331,1,0,1,0,1,1,0,1,0.7507854116,77
310,1,0,1,1,0,1,1,1,1.106483803,71
452,1,1,0,1,0,1,1,0,1.248148413,79
327,0,0,1,0,1,0,0,1,0.7607578231,117
509,1,0,1,0,0,1,2,1,1.666630011,194
154,1,0,1,0,1,1,0,1,0.5061655012,177
93,1,0,1,0,1,1,0,1,0.9724797552,192
289,1,1,0,1,0,1,1,0,1.319313054,152
277,1,1,0,0,0,1,2,0,1.787574339,122
221,1,0,1,1,0,1,1,1,1.253718504,118
442,1,0,1,0,1,1,0,1,0.3863925836,116
322,0,0,1,0,1,0,0,1,0.5724917505,138
163,1,0,1,0,1,1,0,1,0.7072525944,180
259,1,0,1,0,1,1,0,1,0.5179584531,166
248,0,0,1,0,1,0,0,1,0.8532460133,188
297,1,1,0,1,0,1,1,0,1.055913059,152
177,0,0,1,0,1,0,0,1,0.9772699639,140
404,1,0,1,0,0,1,2,1,3.562763595,154
393,1,0,1,0,1,1,0,1,0.9797613559,170
303,1,0,1,0,0,1,2,1,4.644094432,163
223,0,0,1,0,1,0,0,1,0.6215180145,161
375,1,0,1,1,0,1,1,1,1.243074277,193
394,0,0,1,0,1,0,0,1,0.6696426898,182
341,0,1,0,0,0,0,2,0,1.714580263,158
175,1,1,0,1,0,1,1,0,0.9986879403,172
476,1,0,1,0,1,1,0,1,0.4340333119,185
453,0,0,1,0,0,0,2,1,1.608114336,179
357,1,0,1,1,0,1,1,1,0.9945454634,134
430,1,1,0,0,1,1,0,0,0.9140055979,132
177,1,0,1,0,1,1,0,1,0.705974937,124
327,0,0,1,0,1,0,0,1,0.8589284953,58
182,1,1,0,0,0,1,2,0,3.339765147,32
261,1,0,1,0,1,1,0,1,0.5249020792,101
275,0,1,0,0,0,0,2,0,2.395552013,199
787,1,0,1,0,0,1,2,1,1.966050687,138
415,0,0,1,1,0,0,1,1,1.2940393,119
195,1,0,1,0,1,1,0,1,0.9440701716,136
412,1,0,1,0,1,1,0,1,0.558089462,163
315,1,0,1,0,1,1,0,1,0.8660064875,164
404,1,0,1,0,0,1,2,1,1.708744984,110
308,0,0,1,0,1,0,0,1,0.7159618393,88
317,1,0,1,0,1,1,0,1,0.70989702,82
474,1,0,0,0,0,1,2,2,1.561368793,79
271,1,0,1,1,0,1,1,1,1.228512363,140
36,1,0,1,0,1,1,0,1,0.5036474348,161
202,1,0,1,1,0,1,1,1,1.060322206,127
378,1,0,1,0,1,1,0,1,0.9046425737,123
243,0,0,1,0,1,0,0,1,0.4170903634,127
302,0,0,1,1,0,0,1,1,1.120392627,142
52,1,0,1,1,0,1,1,1,1.225928335,127
276,0,0,1,0,1,0,0,1,0.769042634,115
134,1,0,1,0,1,1,0,1,0.5396684803,131
345,0,0,1,0,0,0,2,1,1.676016019,127
169,1,0,0,0,1,1,0,2,0.8072886755,116
422,1,0,1,1,0,1,1,1,1.080261415,136
328,1,0,1,0,1,1,0,1,0.6052964492,183
508,1,0,1,0,1,1,0,1,0.3657773174,170
900,1,1,0,0,1,1,0,0,0.6834670261,189
300,0,0,1,1,0,0,1,1,1.152304871,196
483,0,0,1,0,1,0,0,1,0.6549609835,149
601,0,0,1,0,1,0,0,1,0.7524794268,135
356,1,0,1,1,0,1,1,1,1.199333885,139
377,1,0,1,0,1,1,0,1,0.6059511244,144
158,1,0,1,1,0,1,1,1,1.468027122,148
436,1,0,1,0,0,1,2,1,2.725460644,160
117,1,0,1,0,1,1,0,1,0.5967404965,199
273,0,0,1,0,1,0,0,1,0.8394331525,198
188,0,0,1,0,0,0,2,1,1.851713089,192
513,1,0,0,0,0,1,2,2,3.343112443,159
299,0,0,0,0,1,0,0,2,0.3545246339,157
315,1,0,1,0,0,1,2,1,4.256736668,199
296,1,0,1,0,1,1,0,1,0.710129604,196
63,0,0,1,1,0,0,1,1,1.014392464,186
453,0,0,1,0,1,0,0,1,0.9126528241,191
403,1,0,1,0,1,1,0,1,0.5532867328,194
937,1,0,1,1,0,1,1,1,1.057662606,173
316,1,0,1,1,0,1,1,1,1.118206988,154
371,0,0,1,0,1,0,0,1,0.412603638,174
177,1,0,1,1,0,1,1,1,1.009953989,181
255,0,0,1,0,1,0,0,1,0.5530795538,176
388,1,0,1,0,0,1,2,1,1.723434919,180
344,1,0,0,1,0,1,1,2,1.355821999,187
469,1,0,1,0,1,1,0,1,0.597310661,139
294,1,0,1,1,0,1,1,1,1.147179052,122
321,1,0,1,1,0,1,1,1,1.145647281,86
495,1,0,1,0,1,1,0,1,0.5673756942,46
397,1,0,0,0,1,1,0,2,0.6402474979,36
315,0,1,0,1,0,0,1,0,1.297392465,128
344,1,0,1,0,0,1,2,1,2.893121385,197
396,1,0,1,0,0,1,2,1,4.228525534,165
410,1,0,1,0,1,1,0,1,0.4198480348,177
403,1,0,1,1,0,1,1,1,1.165607633,138
296,0,1,0,0,0,0,2,0,2.299086452,187
45,1,0,1,1,0,1,1,1,1.477668348,131
473,1,0,0,0,1,1,0,2,0.704556807,113
205,0,0,1,0,1,0,0,1,0.5758043637,99
357,1,0,1,0,0,1,2,1,1.58308683,86
435,1,0,1,1,0,1,1,1,1.189966927,93
312,1,0,1,0,1,1,0,1,0.5124911862,180
370,0,0,1,0,0,0,2,1,3.466122761,152
401,1,0,1,0,0,1,2,1,3.970187894,116
365,1,0,1,1,0,1,1,1,1.005176309,103
335,1,0,0,0,1,1,0,2,0.6294025523,98
411,1,0,1,0,1,1,0,1,0.5019178981,96
466,1,0,1,0,0,1,2,1,2.297359589,107
266,1,0,1,0,0,1,2,1,2.00135159,165
384,0,0,1,1,0,0,1,1,1.08621739,127
417,1,0,1,0,0,1,2,1,2.26328841,117
253,1,0,1,1,0,1,1,1,1.344051454,105
281,1,0,1,1,0,1,1,1,1.056569284,98
185,1,0,1,1,0,1,1,1,1.159614684,113
429,1,0,1,0,1,1,0,1,0.4594025247,117
173,1,0,1,1,0,1,1,1,1.129506345,167
393,1,0,1,0,1,1,0,1,0.8630789193,199
322,1,0,1,0,1,1,0,1,0.7410868099,184
667,0,0,1,0,1,0,0,1,0.748477063,190
323,1,0,1,0,0,1,2,1,2.956286539,146
476,0,0,1,0,1,0,0,1,0.4386446014,137
252,1,0,1,0,1,1,0,1,0.7619942347,140
389,1,0,1,0,1,1,0,1,0.7247744266,149
868,1,0,1,1,0,1,1,1,1.264953374,132
479,1,0,1,0,1,1,0,1,0.5684055592,152
314,0,0,1,0,0,0,2,1,1.73310899,199
237,1,0,1,0,1,1,0,1,0.7254899328,193
312,1,1,0,0,1,1,0,0,0.9045926186,194
242,1,0,1,0,1,1,0,1,0.8653254379,179
205,0,0,1,0,1,0,0,1,0.5256497232,160
443,1,1,0,1,0,1,1,0,1.3376427,176
312,0,0,1,0,0,0,2,1,2.74791628,199
950,1,0,1,0,1,1,0,1,0.5695525412,199
342,1,0,1,0,0,1,2,1,1.727886069,163
311,1,0,0,0,1,1,0,2,0.5596023336,136
130,0,0,1,1,0,0,1,1,1.022395277,187
321,1,0,1,0,1,1,0,1,0.588329537,185
418,1,1,0,0,0,1,2,0,1.706702988,165
283,0,0,1,0,0,0,2,1,1.765040386,148
284,1,0,1,0,1,1,0,1,0.7959031836,146
200,1,0,1,0,1,1,0,1,0.5212782496,140
476,0,0,1,0,1,0,0,1,0.7354267183,168
949,1,0,1,0,0,1,2,1,1.927554498,149
89,1,0,1,0,1,1,0,1,0.460477886,141
373,0,0,1,1,0,0,1,1,1.189525499,141
330,1,0,1,0,1,1,0,1,0.7435224372,122
194,0,0,1,0,1,0,0,1,0.5951825384,113
451,1,1,0,1,0,1,1,0,1.2464509,74
248,0,0,1,0,1,0,0,1,0.8157480964,69
154,0,0,1,0,1,0,0,1,0.4295896198,124
381,0,0,0,1,0,0,1,2,1.325508108,171
284,0,0,1,0,1,0,0,1,0.6450186274,193
384,0,0,1,1,0,0,1,1,1.073929779,189
399,1,0,1,1,0,1,1,1,1.330193348,183
93,0,0,1,0,1,0,0,1,0.7381483849,146
421,1,0,1,0,1,1,0,1,0.3678411247,178
507,1,0,1,0,1,1,0,1,0.4166170466,198
493,0,0,1,0,1,0,0,1,0.744082697,148
299,1,0,1,1,0,1,1,1,1.240840187,162
399,0,0,1,0,0,0,2,1,2.705629418,184
295,1,1,0,0,1,1,0,0,0.5959546788,122
291,1,0,1,0,1,1,0,1,0.7691405979,103
297,1,0,1,1,0,1,1,1,1.245572604,104
436,0,0,1,0,1,0,0,1,0.5082284836,94
142,1,0,1,0,1,1,0,1,0.8331603034,115
402,1,0,1,0,1,1,0,1,0.6885864132,167
206,1,0,0,0,1,1,0,2,0.7742717736,120
238,1,0,1,0,1,1,0,1,0.644943301,93
520,1,0,1,0,1,1,0,1,0.7251844486,78
103,1,0,1,0,1,1,0,1,0.4491178274,82
415,1,0,1,0,1,1,0,1,0.8942348183,79
87,1,0,1,0,1,1,0,1,0.4082575538,114
255,1,1,0,1,0,1,1,0,1.135764472,148
353,1,0,1,0,1,1,0,1,0.5901091505,177
461,1,0,1,0,1,1,0,1,0.9431068139,107
215,1,0,1,0,1,1,0,1,0.9731696941,108
346,1,0,1,0,0,1,2,1,3.608519325,85
326,1,0,1,0,1,1,0,1,0.8683936253,93
231,1,1,0,0,1,1,0,0,0.6588443968,109
453,0,0,1,1,0,0,1,1,1.216479525,107
573,1,0,1,0,1,1,0,1,0.6995938691,155
318,1,1,0,0,1,1,0,0,0.8754232501,188
344,1,0,1,0,0,1,2,1,2.598729132,184
317,1,0,1,1,0,1,1,1,1.103121026,175
560,0,0,1,0,1,0,0,1,0.2192728836,178
408,1,1,0,1,0,1,1,0,1.293840265,152
317,1,0,0,0,0,1,2,2,3.771202094,140
273,0,0,1,0,1,0,0,1,0.4414636975,141
306,1,0,1,1,0,1,1,1,1.088073919,146
368,1,0,1,0,0,1,2,1,1.666687976,164
336,1,0,0,1,0,1,1,2,1.167504083,169
340,1,0,1,0,1,1,0,1,0.6566593846,186
437,1,0,1,0,1,1,0,1,0.6479068619,197
220,1,0,0,0,1,1,0,2,0.4034977594,182
563,0,0,1,0,0,0,2,1,2.875567076,181
613,1,0,1,0,1,1,0,1,0.6035085026,168
174,1,0,1,0,0,1,2,1,2.815102161,199
153,1,1,0,0,1,1,0,0,0.7415206102,161
342,0,0,1,0,0,0,2,1,2.765999426,126
352,0,0,1,0,1,0,0,1,0.8717235232,195
222,1,0,1,1,0,1,1,1,1.004147396,196
359,1,0,0,1,0,1,1,2,1.033542533,198
269,1,0,1,0,0,1,2,1,1.535310525,186
383,1,0,1,0,1,1,0,1,0.948498498,181
271,0,0,1,0,1,0,0,1,0.3893863803,167
413,0,0,1,1,0,0,1,1,1.4187055,173
465,1,0,1,0,1,1,0,1,0.8381819315,147
377,1,0,1,0,0,1,2,1,2.829299545,165
405,0,0,1,0,0,0,2,1,1.907440585,160
392,1,1,0,0,1,1,0,0,0.8917859911,114
327,0,0,1,0,1,0,0,1,0.8019885588,102
437,1,0,1,0,1,1,0,1,0.4533548083,104
283,0,0,1,0,1,0,0,1,0.5146175296,151
387,1,0,1,0,0,1,2,1,2.020436605,156
258,1,0,1,0,1,1,0,1,0.7464657412,138
185,0,0,0,0,1,0,0,2,0.4938494402,175
86,0,0,1,0,1,0,0,1,0.4400132604,190
353,0,0,1,0,1,0,0,1,0.955,191
405,1,0,1,0,1,1,0,1,0.3407405645,182
320,1,0,1,0,1,1,0,1,0.7312661481,172
99,1,0,1,0,1,1,0,1,0.6218956918,127
475,1,0,0,0,1,1,0,2,0.9553716017,169
356,1,0,1,1,0,1,1,1,0.9997879873,141
421,1,0,1,0,1,1,0,1,0.7731519286,99
438,0,0,1,0,0,0,2,1,1.731109442,98
70,1,1,0,0,1,1,0,0,0.7934823951,93
335,1,0,1,0,1,1,0,1,0.3753253508,80
407,0,0,1,0,1,0,0,1,0.6614012717,149
504,0,0,1,0,1,0,0,1,0.5088432175,183
214,0,0,1,0,1,0,0,1,0.5313623259,129
323,1,0,0,0,1,1,0,2,0.5809395225,86
343,1,0,1,1,0,1,1,1,1.281091085,76
328,0,0,0,0,1,0,0,2,0.977816124,63
388,1,0,1,0,1,1,0,1,0.4179278223,70
320,0,0,1,1,0,0,1,1,1.481298857,89
498,0,0,1,0,1,0,0,1,0.4107643197,131
393,1,1,0,0,1,1,0,0,0.3741609844,163
371,1,1,0,0,1,1,0,0,0.7829431342,138
123,1,0,1,0,0,1,2,1,1.723062169,104
368,1,0,1,1,0,1,1,1,1.184093228,89
354,0,0,1,1,0,0,1,1,1.442497755,72
335,0,0,1,0,1,0,0,1,0.9398514988,73
104,0,0,1,0,1,0,0,1,0.6948838092,117
376,0,1,0,0,0,0,2,0,2.989760727,152
287,0,0,1,1,0,0,1,1,1.05065622,149
388,1,0,1,1,0,1,1,1,1.445710333,157
410,1,1,0,0,0,1,2,0,2.972611878,164
427,1,1,0,0,1,1,0,0,0.5949537769,184
134,1,0,1,0,0,1,2,1,1.598004435,185
212,0,0,1,0,1,0,0,1,0.9475588363,195
